runnumber,run_time,number_of_events,number_of_tracks,number_of_tracks_PIX,number_of_tracks_FPIX,number_of_tracks_BPIX,number_of_tracks_TID,number_of_tracks_TIDM,number_of_tracks_TIDP,number_of_tracks_TIB,number_of_tracks_TEC,number_of_tracks_TECP,number_of_tracks_TECM,number_of_tracks_TOB,number_of_tracks_TID_1,number_of_tracks_TID_1_plus,number_of_tracks_TID_1_minus,number_of_tracks_TID_2,number_of_tracks_TID_2_plus,number_of_tracks_TID_2_minus,number_of_tracks_TID_3,number_of_tracks_TID_3_plus,number_of_tracks_TID_3_minus,number_of_tracks_TEC_1,number_of_tracks_TEC_1_plus,number_of_tracks_TEC_1_minus,number_of_tracks_TEC_2,number_of_tracks_TEC_2_plus,number_of_tracks_TEC_2_minus,number_of_tracks_TEC_3,number_of_tracks_TEC_3_plus,number_of_tracks_TEC_3_minus,number_of_tracks_TEC_4,number_of_tracks_TEC_4_plus,number_of_tracks_TEC_4_minus,number_of_tracks_TEC_5,number_of_tracks_TEC_5_plus,number_of_tracks_TEC_5_minus,number_of_tracks_TEC_6,number_of_tracks_TEC_6_plus,number_of_tracks_TEC_6_minus,number_of_tracks_TEC_7,number_of_tracks_TEC_7_plus,number_of_tracks_TEC_7_minus,number_of_tracks_TEC_8,number_of_tracks_TEC_8_plus,number_of_tracks_TEC_8_minus,number_of_tracks_TEC_9,number_of_tracks_TEC_9_plus,number_of_tracks_TEC_9_minus
343034,44434  ,155287,87744,0,0,0,0,0,0,0,8711,4252,4480,84910,0,0,0,0,0,0,0,0,0,6930,3501,3449,5571,2459,3129,4484,1833,2669,3483,1353,2145,3104,1203,1917,2494,983,1524,1754,698,1068,1208,477,742,693,272,428
343042,5261   ,18049,10502,0,0,0,0,0,0,0,1001,478,525,10156,0,0,0,0,0,0,0,0,0,807,398,411,661,276,387,523,198,327,410,161,251,371,152,221,303,114,190,220,84,137,149,55,94,86,33,53
343045,387    ,1339,773,0,0,0,0,0,0,0,72,41,31,755,0,0,0,0,0,0,0,0,0,57,29,28,44,23,21,33,17,16,21,12,9,22,15,7,17,10,7,12,9,3,9,6,3,7,4,3
343046,7494   ,25578,14872,0,0,0,0,0,0,0,1473,718,756,14374,0,0,0,0,0,0,0,0,0,1141,572,570,902,396,507,749,298,452,614,240,375,538,213,326,450,184,267,297,126,172,202,87,116,115,55,60
343059,1062   ,3677,2115,0,0,0,0,0,0,0,213,90,124,2045,0,0,0,0,0,0,0,0,0,165,72,94,136,47,89,122,42,81,82,27,56,82,26,56,67,21,46,48,14,34,35,8,27,13,3,10
343068,11127  ,36267,21002,0,0,0,0,0,0,0,2022,989,1041,20310,0,0,0,0,0,0,0,0,0,1592,782,818,1333,594,746,1087,447,647,847,346,505,755,310,449,619,257,363,429,178,252,305,137,169,180,84,97
343070,1426   ,4871,2762,54,54,0,0,0,0,0,244,116,128,2684,0,0,0,0,0,0,0,0,0,197,95,102,170,75,95,132,61,71,102,49,53,84,44,40,69,35,34,49,24,25,33,11,22,21,5,16
343080,6094   ,20985,12128,263,263,0,0,0,0,0,1212,577,637,11705,0,0,0,0,0,0,0,0,0,948,470,480,785,349,438,628,244,386,504,197,309,470,186,286,376,158,219,269,115,156,199,84,116,111,49,62
343082,38168  ,129158,73343,1632,1632,0,0,0,0,0,7108,3311,3816,70873,0,0,0,0,0,0,0,0,0,5660,2703,2973,4537,1961,2590,3764,1496,2281,3014,1184,1840,2677,1047,1639,2153,834,1328,1559,606,960,1066,424,647,604,251,357
343862,22860  ,754,440,31,10,22,63,33,30,215,82,31,51,416,29,12,17,22,11,11,29,15,14,65,24,41,61,20,41,49,19,30,47,16,31,34,14,20,28,11,17,23,8,15,18,8,10,12,5,7
343866,99     ,39,17,1,1,0,8,3,5,4,14,9,5,16,7,5,2,4,3,1,3,1,2,12,9,3,13,8,5,11,7,4,9,5,4,8,4,4,7,4,3,4,2,2,2,0,2,0,0,0
343925,88     ,38,14,0,0,0,2,1,1,5,5,4,1,14,1,0,1,0,0,0,1,1,0,3,2,1,5,4,1,4,4,0,3,3,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0
343928,35     ,3,2,0,0,0,0,0,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1
343934,16     ,113,70,11,5,6,6,3,3,32,13,5,8,65,4,2,2,1,1,0,1,0,1,12,4,8,10,3,7,8,4,4,8,2,6,9,4,5,6,3,3,7,3,4,3,1,2,1,0,1
343937,16107  ,75057,43903,3780,1007,2931,6020,2864,3168,21041,8346,4125,4293,41463,3062,1545,1527,2111,1108,1011,2199,1190,1014,6583,3244,3403,5942,2914,3081,5376,2587,2836,4481,2096,2426,3968,1840,2173,3190,1488,1737,2344,1070,1305,1687,753,961,1033,438,611
344063,3836   ,17349,10192,909,247,688,1364,647,718,4975,1918,970,965,9621,694,342,353,470,252,219,495,270,226,1534,791,760,1362,678,697,1213,582,641,968,446,533,895,413,491,729,347,389,534,251,289,360,167,198,239,110,132
344134,25552  ,1392,734,89,28,65,104,42,62,385,145,74,72,702,47,27,20,37,19,18,43,25,18,114,62,53,97,53,45,90,44,46,69,28,41,65,29,36,47,22,25,33,14,19,20,9,11,15,4,11
344186,14419  ,22226,11829,1114,341,819,1667,743,924,5865,2097,1073,1026,11307,817,429,388,570,317,253,640,382,258,1664,833,832,1471,753,718,1299,637,663,1093,516,577,927,428,499,695,335,360,493,228,265,322,150,172,194,99,95
344187,91     ,308,176,17,1,16,15,8,7,95,36,21,16,164,8,3,5,5,4,1,5,2,3,30,17,14,28,17,11,22,13,9,16,12,4,16,11,5,13,8,5,8,5,3,3,2,1,1,1,0
344188,3645   ,13054,6839,636,164,491,933,405,528,3391,1225,612,616,6543,477,265,212,329,203,126,313,170,143,973,481,493,883,433,452,773,365,411,632,280,354,553,238,316,421,167,255,297,136,161,200,88,112,124,48,76
344258,143    ,50,10,1,1,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,8,0,8,9,0,9,9,0,9,10,0,10,7,0,7,4,0,4,4,0,4,4,0,4,1,0,1
